GraphID,riskBasedDefence,defenceInDepth,behavioralDefender,minCut,betweennessCentralityWithInDegreeNodes,betweennessCentralityWithAdjacentNodes,betweennessCentralityWithMarkovBlanket,betweennessCentralityWithMinCut,harmonicCentralityWithInDegreeNodes,harmonicCentralityWithAdjacentNodes,harmonicCentralityWithMarkovBlanket,harmonicCentralityWithMinCut,degreeCentralityWithInDegreeNodes,degreeCentralityWithAdjacentNodes,degreeCentralityWithMarkovBlanket,degreeCentralityWithMinCut,katzCentralityWithInDegreeNodes,katzCentralityWithAdjacentNodes,katzCentralityWithMarkovBlanket,katzCentralityWithMinCut,katzCentralityWithCognitiveProspectBasedInDegree,TRCentralityWithInDegreeNodes,TRCentralityWithAdjacentNodes,TRCentralityWithMarkovBlanket,TRCentralityWithMinCut,TRCentralityWithCognitiveProspectBasedInDegree,ABNRWithInDegreeNodes,ABNRWithAdjacentNodes,ABNRWithMarkovBlanket,ABNRWithMinCut,LossAverseRankWithInDegreeNodes
DER,27.96580841,26.83843711,27.55274635,25.69099167,66.04182257,53.7586962,41.18243258,27.17884004,61.86648343,46.0052652,30.9424294,26.32701971,70.216833,52.77775341,37.08618044,28.11762432,73.55946967,57.23078047,42.87127272,29.45926229,73.39918713,72.1067332,55.1013423,39.98311198,28.17176392,71.95002257,71.00585184,54.62848761,39.32695835,28.29474087,72.97416625
HG2,35.33511181,34.07593698,35.30782792,39.34943174,40.89853327,33.53460652,27.82129509,41.40925671,51.90530906,44.13847959,33.49260875,42.8094756,59.80977717,50.95874321,37.80572314,43.23448784,58.6387801,51.72488854,38.72001827,42.25610735,58.22324425,60.20427482,52.66255263,39.09398828,43.05356798,59.81973101,58.11363126,49.28847717,36.52323009,43.21773511,56.1231449
e_commerce,25.75934038,26.83843711,25.44694079,38.68072803,0,0,0,0,0,0,0,0,67.08070122,67.08070122,50.77791453,35.71245194,57.80951039,57.80951039,44.82719909,31.71691692,58.36116726,54.87047418,54.87047418,42.34830923,30.52739079,55.43850417,60.89279407,60.89279407,46.60079216,33.00979071,32.72374117
HG1,66.74685542,63.21205588,65.82741766,71.40905967,0,0,0,0,59.42644602,64.31447727,63.91350886,59.42644602,86.86398093,77.0045936,68.9398731,86.97279526,85.12504581,81.98362397,72.39154564,85.38077688,85.04848793,84.68808367,81.99412926,72.32662696,84.95581192,84.61265408,82.73692161,81.55469765,71.74525118,83.04615082,62.41884716
ABSNP,7.246210342,6.720300343,6.997513917,14.28710159,5.209204844,7.327521316,3.350649068,5.163852958,4.403516317,2.723386465,1.566876313,4.505755244,11.87733675,11.05894795,8.092859522,9.495071092,12.84405416,11.81045383,8.713064855,10.0809722,12.84372397,11.2983814,10.2514822,7.461134302,9.115357148,11.33509093,9.694587933,8.826625822,6.081832415,8.162538206,3.154347965
ASS2009,2.551354696,2.366150914,2.463364258,12.25568951,6.918692789,5.193410232,4.379611332,9.042825406,6.436341653,3.367970108,2.353517858,6.881455707,8.244333081,5.125326029,3.906757438,9.673966536,7.825984734,4.563098553,3.57751463,8.73557997,7.747669692,7.088795012,4.267646058,3.29741523,8.09172113,7.005332312,7.507875732,4.570714399,3.504709854,8.693310684,3.518727231
VOiP,28.81590379,24.85227069,28.24721636,39.79424991,0,0,0,0,0,0,0,0,71.34952031,71.34952031,55.63758604,35.49288569,69.21119827,69.21119827,58.4705266,38.31100327,69.31913282,67.36394127,67.36394127,55.68669835,37.25480365,67.50464968,70.37818562,70.37818562,57.31573005,37.66054908,63.04148782
AWS03,4.87513547,4.559698753,4.723481856,19.73461931,3.758188333,2.904080341,1.835950792,5.108726853,4.267502404,2.682032479,2.099814955,6.769098126,9.58491351,8.171375506,6.450065343,12.29513948,12.76173735,11.52210723,8.922046983,15.68137663,13.37186869,11.47887978,10.63820747,8.134588242,13.67544063,12.05263617,8.575599272,7.374280124,5.870355002,11.05349265,7.76618212
Figure3,78.59318056,63.21205588,77.00082153,41.57886093,58.66752993,75.29504465,63.34783706,48.73919865,55.2963104,74.80527253,62.67164824,43.31746574,72.97515794,65.17960208,55.92722525,45.70324749,71.71811153,60.36568699,53.41864899,46.19624393,81.82348043,72.71380322,62.38273754,54.15132154,45.55044202,82.12388308,72.27688412,71.0675144,60.01152711,47.5534309,53.53077669
ASFS3,2.544900372,2.476404235,2.512101776,6.812404865,6.509149278,4.753597617,3.675897545,6.454957462,6.799269903,3.685417328,2.531743995,5.412150366,6.839221647,4.307360513,3.060172401,6.248957182,7.269837187,4.507146117,3.251452029,6.705211193,7.748823296,6.675551751,4.181212761,2.973796623,6.274144515,7.089477621,7.050337368,4.328659371,3.104544129,6.350051716,3.717589597
SCADA,42.76219661,39.34693403,43.27365035,50.88855081,66.56605485,60.6305809,52.26466495,69.41846197,51.61432453,40.20982387,27.0641845,58.91110097,59.27464376,45.68949665,36.47170113,65.67136723,59.83251806,46.85303693,34.89088668,66.40854586,61.30040876,58.16455709,45.0849437,34.06840115,64.76607376,59.76563294,63.86625193,50.66697058,38.43611611,69.71735358,58.61496852
